"Date","Price","Open","High","Low","Vol.","Change %"
"28/02/2025","1,884.035","1,889.370","1,894.109","1,882.532","","-0.17%"
"27/02/2025","1,887.330","1,896.141","1,901.038","1,888.735","","-0.37%"
"26/02/2025","1,894.350","1,896.015","1,903.708","1,891.449","","-0.02%"
"25/02/2025","1,894.674","1,894.672","1,910.735","1,889.413","","0.07%"
"24/02/2025","1,893.259","1,895.382","1,908.016","1,886.479","","-0.03%"
"21/02/2025","1,893.894","1,911.727","1,914.942","1,887.119","","-0.85%"
"20/02/2025","1,910.083","1,898.045","1,917.375","1,866.689","","0.98%"
"19/02/2025","1,891.526","1,898.182","1,906.030","1,889.325","","-0.27%"
"18/02/2025","1,896.694","1,907.562","1,908.597","1,891.527","","-0.49%"
"17/02/2025","1,906.073","1,906.859","1,914.693","1,894.968","","0.37%"
"14/02/2025","1,899.077","1,897.543","1,911.826","1,886.126","","0.78%"
"13/02/2025","1,884.450","1,867.151","1,927.082","1,857.225","","1.05%"
"12/02/2025","1,864.782","1,866.626","1,886.671","1,858.233","","-0.01%"
"11/02/2025","1,864.932","1,852.222","1,870.245","1,846.457","","0.78%"
"10/02/2025","1,850.461","1,856.564","1,874.298","1,848.404","","-0.35%"
"07/02/2025","1,856.895","1,862.104","1,880.122","1,850.719","","-0.20%"
"06/02/2025","1,860.636","1,872.811","1,877.805","1,851.686","","-0.58%"
"05/02/2025","1,871.410","1,858.185","1,880.335","1,855.579","","0.78%"
"04/02/2025","1,856.863","1,840.458","1,866.787","1,829.667","","0.96%"
"03/02/2025","1,839.139","1,835.404","1,909.989","1,775.216","","0.30%"
"31/01/2025","1,833.720","1,861.609","1,880.874","1,790.289","","-1.40%"
"30/01/2025","1,859.767","1,929.805","1,934.091","1,855.458","","-3.57%"
"29/01/2025","1,928.638","1,928.565","1,943.742","1,868.714","","0.05%"
"28/01/2025","1,927.708","1,937.713","1,938.255","1,881.336","","-0.44%"
"27/01/2025","1,936.230","1,934.612","1,947.249","1,905.316","","0.23%"
"24/01/2025","1,931.749","1,923.753","1,947.954","1,867.409","","1.09%"
"23/01/2025","1,910.854","1,918.148","1,928.596","1,877.918","","0.29%"
"22/01/2025","1,905.285","1,921.282","1,927.312","1,905.906","","-0.18%"
"21/01/2025","1,908.693","1,915.521","1,922.215","1,893.367","","0.31%"
"20/01/2025","1,902.807","1,886.074","1,927.612","1,879.843","","1.15%"
"17/01/2025","1,881.263","1,909.843","1,910.623","1,883.197","","-0.84%"
"16/01/2025","1,897.290","1,903.946","1,922.585","1,861.075","","0.33%"
"15/01/2025","1,891.080","1,897.842","1,928.460","1,883.219","","0.30%"
"14/01/2025","1,885.471","1,890.494","1,917.646","1,874.462","","0.40%"
"13/01/2025","1,877.983","1,892.344","1,906.804","1,860.644","","-0.18%"
"10/01/2025","1,881.454","1,909.407","1,927.039","1,873.151","","-0.79%"
"09/01/2025","1,896.403","1,908.253","1,928.169","1,882.182","","0.01%"
"08/01/2025","1,896.121","1,919.885","1,932.511","1,887.751","","-0.56%"
"07/01/2025","1,906.872","1,931.291","1,940.004","1,911.186","","-0.60%"
"06/01/2025","1,918.384","1,907.943","1,946.451","1,903.788","","0.72%"
"03/01/2025","1,904.607","1,916.502","1,935.338","1,894.273","","0.03%"
"02/01/2025","1,904.044","1,925.598","1,938.110","1,902.016","","-1.07%"
"01/01/2025","1,924.576","1,933.012","1,936.712","1,923.363","","0.28%"
"31/12/2024","1,919.187","1,937.335","1,942.132","1,922.828","","-0.32%"
"30/12/2024","1,925.323","1,947.252","1,963.297","1,920.851","","-0.55%"
"27/12/2024","1,935.908","1,927.290","1,958.666","1,918.653","","0.52%"
"26/12/2024","1,925.806","1,928.891","1,930.906","1,923.213","","-0.10%"
"25/12/2024","1,927.789","1,941.823","1,941.823","1,924.896","","-0.07%"
"24/12/2024","1,929.047","1,940.586","1,946.933","1,924.819","","0.07%"
"23/12/2024","1,927.663","1,932.242","1,960.933","1,919.905","","-0.29%"
"20/12/2024","1,933.200","1,939.677","1,952.892","1,920.369","","0.34%"
"19/12/2024","1,926.633","1,956.213","1,970.446","1,927.440","","-0.85%"
"18/12/2024","1,943.094","1,979.331","2,079.056","1,930.294","","-1.15%"
"17/12/2024","1,965.765","1,944.876","1,981.745","1,943.957","","1.17%"
"16/12/2024","1,943.072","1,954.466","1,974.163","1,931.389","","0.03%"
"13/12/2024","1,942.541","1,961.626","1,963.064","1,935.745","","-0.28%"
"12/12/2024","1,947.949","1,975.579","1,995.930","1,941.684","","-0.75%"
"11/12/2024","1,962.595","1,976.393","1,983.764","1,947.801","","-0.02%"
"10/12/2024","1,963.080","1,966.728","1,977.552","1,952.800","","0.48%"
"09/12/2024","1,953.746","2,023.324","2,173.653","1,897.167","","-0.60%"
"06/12/2024","1,965.453","2,048.284","2,105.826","1,958.431","","-3.43%"
"05/12/2024","2,035.284","2,068.837","2,091.680","1,970.904","","-0.98%"
"04/12/2024","2,055.486","2,101.724","2,129.142","2,040.624","","-1.58%"
"03/12/2024","2,088.472","2,117.249","2,130.871","2,077.121","","-0.64%"
"02/12/2024","2,101.894","2,145.101","2,159.770","2,097.906","","-1.24%"
"29/11/2024","2,128.213","2,134.664","2,150.138","2,085.322","","0.39%"
"28/11/2024","2,119.858","2,142.406","2,144.259","2,051.815","","-0.33%"
"27/11/2024","2,126.937","2,123.994","2,150.619","2,115.331","","0.88%"
"26/11/2024","2,108.320","2,113.517","2,146.257","2,087.486","","0.50%"
"25/11/2024","2,097.759","2,123.685","2,156.865","2,073.721","","-0.41%"
